
total reward
test_mpc	2.53
test_a3c	2.64
test_gener_ppo_4	2.88
test_gener_ppo_6	2.9
test_ma_ge_4	2.98
test_ma_ge_6	3.01
test_merina	2.8
test_genet	1.32
sim_dp	3.41

reward
test_mpc	-1.04	0.87	1.82	2.67	2.99	3.22	3.46	3.6	3.82	3.9	
test_a3c	0.43	1.26	1.79	2.54	2.86	3.14	3.37	3.55	3.67	3.76	
test_gener_ppo_4	0.33	1.46	2.18	2.93	3.22	3.41	3.57	3.74	3.94	3.98	
test_gener_ppo_6	0.68	1.38	2.13	2.93	3.2	3.4	3.61	3.75	3.88	4.01	
test_ma_ge_4	0.87	1.61	2.31	2.99	3.25	3.46	3.63	3.78	3.93	3.98	
test_ma_ge_6	1.01	1.77	2.29	2.97	3.27	3.45	3.65	3.81	3.95	3.98	
test_merina	-0.22	1.3	2.11	2.9	3.2	3.42	3.61	3.75	3.93	3.97	
test_genet	-2.9	-0.3	0.72	1.57	1.97	2.2	2.37	2.47	2.55	2.6	
sim_dp	1.87	2.54	2.96	3.26	3.51	3.69	3.87	4.01	4.13	4.23	

reward percent
test_mpc	-55.7	34.29	61.71	81.92	85.15	87.31	89.61	89.78	92.45	92.37	
test_a3c	23.08	49.68	60.57	77.9	81.53	85.08	87.16	88.69	88.85	88.9	
test_gener_ppo_4	17.65	57.65	73.83	89.79	91.78	92.39	92.27	93.4	95.18	94.16	
test_gener_ppo_6	36.4	54.48	72.16	89.85	91.04	92.23	93.29	93.66	93.8	94.79	
test_ma_ge_4	46.67	63.53	78.32	91.62	92.63	93.6	93.91	94.33	95.15	94.11	
test_ma_ge_6	54.02	69.77	77.54	91.1	93.01	93.44	94.29	95.06	95.43	94.11	
test_merina	-11.74	51.23	71.48	88.9	91.09	92.59	93.34	93.51	95.05	94.01	
test_genet	-154.9	-11.8	24.48	48.07	56.05	59.7	61.31	61.67	61.75	61.47	

qulity
test_mpc	743.91	1605.0	2515.95	3313.59	4220.11	5058.75	5959.39	6913.6	7825.17	8668.37	
test_a3c	656.68	1498.99	2423.88	3244.1	4182.42	4997.24	5838.47	6698.33	7403.97	7925.7	
test_gener_ppo_4	667.79	1510.95	2403.48	3243.1	4150.47	4978.22	5895.27	6847.79	7630.48	7785.31	
test_gener_ppo_6	598.45	1416.02	2337.44	3075.93	3966.46	4798.86	5671.93	6587.84	7475.68	8439.04	
test_ma_ge_4	622.12	1410.97	2269.23	3066.26	3963.92	4899.21	5775.33	6802.84	7610.39	7758.8	
test_ma_ge_6	617.91	1430.08	2283.53	3027.92	4034.47	4801.47	5771.75	6802.96	7575.92	7768.82	
test_merina	703.01	1528.45	2443.85	3247.69	4150.74	4986.0	5878.14	6832.96	7599.04	7755.15	
test_genet	802.29	1589.15	2432.41	3171.17	3954.71	4502.15	4897.67	5136.87	5284.18	5381.19	
sim_dp	1140.13	2054.95	2935.7	3907.74	4965.15	5929.57	7045.79	8060.19	9180.79	9936.16	

rebuf time
test_mpc	59.55	30.35	20.12	5.6	4.77	4.2	2.92	3.34	2.44	1.25	
test_a3c	23.07	17.04	15.03	1.72	2.76	1.57	0.5	0.03	0.0	0.0	
test_gener_ppo_4	28.78	17.55	13.99	1.72	1.29	1.0	0.65	0.83	0.18	0.05	
test_gener_ppo_6	7.02	11.04	9.24	0.01	0.0	0.0	0.0	0.0	0.0	0.03	
test_ma_ge_4	12.87	16.27	10.69	0.22	0.21	0.89	0.79	1.34	0.63	0.0	
test_ma_ge_6	7.63	10.65	11.3	0.55	0.54	0.51	0.06	0.38	0.02	0.03	
test_merina	46.16	19.25	13.42	0.64	0.7	0.39	0.02	0.21	0.0	0.0	
test_genet	106.61	35.43	17.76	2.38	0.51	0.02	0.05	0.0	0.0	0.0	
sim_dp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

rebuf number
test_mpc	12.35	9.4	9.7	9.12	10.42	10.07	10.95	13.68	17.3	11.1	
test_a3c	4.53	2.1	1.88	1.32	3.28	2.0	0.72	0.05	0.0	0.0	
test_gener_ppo_4	5.38	2.2	1.72	1.23	1.05	1.25	0.9	1.55	1.08	0.08	
test_gener_ppo_6	0.8	0.18	0.22	0.02	0.0	0.0	0.0	0.0	0.0	0.12	
test_ma_ge_4	2.02	1.62	1.12	0.12	0.28	1.2	2.62	3.68	4.47	0.0	
test_ma_ge_6	1.68	0.7	0.8	0.3	0.8	0.25	0.12	1.0	0.22	0.08	
test_merina	10.92	2.85	1.68	0.72	0.78	0.28	0.15	0.18	0.02	0.0	
test_genet	13.88	6.55	3.12	1.25	0.38	0.08	0.02	0.0	0.0	0.0	
sim_dp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	

bit change
test_mpc	57639.5	66808.62	79086.75	93026.62	99578.62	110017.0	111343.75	138311.0	94755.0	177440.0	
test_a3c	28650.5	79684.25	128818.75	161730.62	180247.88	191898.5	205315.0	221482.75	232262.5	230352.5	
test_gener_ppo_4	20148.25	28330.75	30164.75	31712.25	29768.62	42617.5	61380.0	47822.5	11467.5	825.0	
test_gener_ppo_6	15858.5	24843.75	18917.25	11191.38	18863.75	18641.12	11809.38	18700.0	20625.0	19375.0	
test_ma_ge_4	3952.0	5378.12	5912.62	4926.25	6135.88	8642.5	8498.38	15235.0	4890.0	1987.5	
test_ma_ge_6	3951.38	4760.75	5417.12	4699.38	6040.88	6810.0	8633.38	10007.5	4425.0	1305.0	
test_merina	33898.88	48882.62	51600.5	52497.0	45040.75	50831.75	57851.75	74363.0	21840.0	3390.0	
test_genet	115982.38	216338.5	302787.38	364464.25	409831.88	434047.38	443823.12	449423.38	447904.62	447311.75	
sim_dp	3379.5	3585.25	4208.5	5497.5	5897.5	6622.5	7330.0	6122.5	7640.0	1530.0	

bit change number
